Img_ID,PIXEL
6122.png,800X800
8832.png,800X800
9198.png,800X800
9310.png,800X800
9790.png,800X800
11763.png,800X800
12316.png,800X800
12937.png,800X800
15494.png,800X800
15947.png,800X800
multi_col_112.png,800X557
multi_col_1119.png,800X557
multi_col_1144.png,800X557
multi_col_1305.png,800X557
multi_col_1380.png,800X557
multi_col_1510.png,800X557
multi_col_20235.png,800X557
multi_col_100044.png,800X557
multi_col_100159.png,800X557
multi_col_101217.png,800X557
multi_col_111.png,800X557
multi_col_142.png,800X557
multi_col_1291.png,800X557
multi_col_1464.png,800X557
multi_col_1489.png,800X607
multi_col_1525.png,800X557
multi_col_1530.png,800X557
multi_col_20107.png,800X607
multi_col_20229.png,800X557
multi_col_100858.png,800X557
